index,audio_file,allowed_ms,audio_duration_ms,overflow_ms,status
1,D:\Project\VidTranscribe.ai\src\output\audio\temp_segments\temp_group_1.mp3,4480,5160,680,OVERFLOW
2,,5440,,,MISSING
3,,5120,,,MISSING
4,D:\Project\VidTranscribe.ai\src\output\audio\temp_segments\temp_group_4.mp3,6400,6048,0,PASS
5,D:\Project\VidTranscribe.ai\src\output\audio\temp_segments\temp_group_5.mp3,4880,6384,1504,OVERFLOW
6,,6000,,,MISSING
7,,6320,,,MISSING
8,,5920,,,MISSING
9,D:\Project\VidTranscribe.ai\src\output\audio\temp_segments\temp_group_9.mp3,4720,8856,4136,OVERFLOW
10,,3680,,,MISSING
11,D:\Project\VidTranscribe.ai\src\output\audio\temp_segments\temp_group_11.mp3,4720,8280,3560,OVERFLOW
12,D:\Project\VidTranscribe.ai\src\output\audio\temp_segments\temp_group_12.mp3,4400,8088,3688,OVERFLOW
13,,5040,,,MISSING
14,,3760,,,MISSING
15,,4080,,,MISSING
16,,3680,,,MISSING
17,,3680,,,MISSING
18,,4560,,,MISSING
19,,4080,,,MISSING
20,,3280,,,MISSING
